Code Department;Code Municipality;Department;Municipality;Longitude;Latitude;TOTAL;Urban Area;Rural Area;;
15;15676;Boyacá;San Miguel de Sema;-73.72200484;5.518086388;3009;412;2597;;
15;15681;Boyacá;San Pablo de Borbur;-74.06996448;5.650676396;6608;745;5863;;
15;15686;Boyacá;Santana;-73.48122632;6.057413107;7565;2525;5040;;
15;15690;Boyacá;Santa María;-73.26351766;4.857192995;3559;2107;1452;;
15;15693;Boyacá;Santa Rosa de Viterbo;-72.98246092;5.874555597;13066;7937;5129;;
15;15696;Boyacá;Santa Sofía;-73.60270717;5.713269421;3179;1019;2160;;
15;15720;Boyacá;Sativanorte;-72.70845816;6.131136111;2221;680;1541;;
15;15723;Boyacá;Sativasur;-72.71243808;6.093182343;1097;302;795;;
15;15740;Boyacá;Siachoque;-73.24464901;5.511815055;6729;1117;5612;;
15;15753;Boyacá;Soatá;-72.68402498;6.331911937;9066;6407;2659;;
15;15755;Boyacá;Socotá;-72.63665338;6.041161833;7298;1428;5870;;
15;15757;Boyacá;Socha;-72.69196586;5.996713021;7938;4236;3702;;
15;15759;Boyacá;Sogamoso;-72.92304769;5.72568939;127235;111815;15420;;
15;15761;Boyacá;Somondoco;-73.43339298;4.985725507;2910;655;2255;;
15;15762;Boyacá;Sora;-73.45015278;5.566839797;3019;486;2533;;
15;15763;Boyacá;Sotaquirá;-73.24733448;5.765230774;8162;905;7257;;
15;15764;Boyacá;Soracá;-73.33280563;5.500904831;5954;1461;4493;;
15;15774;Boyacá;Susacón;-72.69028925;6.230332074;2717;604;2113;;
15;15776;Boyacá;Sutamarchán;-73.6205861;5.619781419;6092;2103;3989;;
15;15778;Boyacá;Sutatenza;-73.45231714;5.022988994;4233;732;3501;;
15;15790;Boyacá;Tasco;-72.78101116;5.909821031;5882;1625;4257;;
15;15798;Boyacá;Tenza;-73.42058911;5.077074351;3851;1127;2724;;
15;15804;Boyacá;Tibaná;-73.39645722;5.317250924;9051;1729;7322;;
15;15806;Boyacá;Tibasosa;-72.99944921;5.747229977;12940;4238;8702;;
15;15808;Boyacá;Tinjacá;-73.64684734;5.57971331;3266;737;2529;;
15;15810;Boyacá;Tipacoque;-72.69317268;6.418585803;3323;937;2386;;
15;15814;Boyacá;Toca;-73.18479034;5.56646915;8767;4209;4558;;
15;15816;Boyacá;Togüí;-73.51365506;5.937438225;4335;617;3718;;
15;15820;Boyacá;Tópaga;-72.83224493;5.768201449;3617;1054;2563;;
15;15822;Boyacá;Tota;-72.98589814;5.560497374;5179;854;4325;;
15;15832;Boyacá;Tununguá;-73.9331548;5.730582208;1540;256;1284;;
15;15835;Boyacá;Turmequé;-73.49184702;5.323252768;6118;2072;4046;;
15;15837;Boyacá;Tuta;-73.22597294;5.690968244;8266;2320;5946;;
